2023-06-12 11:19:45.956
Trial Number,Confidence In Performing Task,Perceived Reliability,Trust
1,50,50,50
2,50,41,41
3,50,41,41
4,50,41,41
5,50,41,41
6,50,41,41
7,50,41,41
8,50,41,41
9,50,41,41
10,50,41,41
11,50,41,41
12,50,41,41
13,50,41,41
14,50,44,44
15,50,44,44
16,50,44,44
17,50,37,44
18,43,32,40
19,43,32,40
20,43,32,40
21,43,28,40
22,43,28,40
23,43,28,40
24,29,28,40
25,18,28,40
26,18,38,40
27,18,43,43
28,18,43,43
29,11,34,36
30,11,34,36
31,11,34,36
32,11,34,36
33,11,34,36
34,11,40,40
35,11,46,46
36,11,46,46
37,11,46,46
38,11,46,46
39,11,52,52
40,11,52,52
