SUMMARY
Trial Number,Time Stamp,Relative Start Time,RMS
1,2023-06-12 11:03:11.726,1735.0,28.775552651844528
2,2023-06-12 11:03:29.589,19598.0,99.17350572757921
DETAIL
Trial Number,Time Stamp,Relative Start Time,Cursor X (Relative to Origin),Cursor Y(Relative to Origin),Joystick X,Joystick Y
1,2023-06-12 11:03:11.75,1759.0,0.1221,0.0440,-0.0254,-0.0020
1,2023-06-12 11:03:11.8,1809.0,0.3368,0.1229,-0.0274,-0.0020
1,2023-06-12 11:03:11.85,1859.0,0.9839,0.3568,-0.0215,-0.0020
1,2023-06-12 11:03:11.9,1909.0,1.3792,0.5003,-0.0254,-0.0020
1,2023-06-12 11:03:11.95,1959.0,2.2881,0.8174,-0.0195,-0.0020
1,2023-06-12 11:03:12.0,2009.0,2.7892,0.9840,-0.0098,-0.0020
1,2023-06-12 11:03:12.05,2059.0,3.8730,1.3187,-0.0020,-0.0020
1,2023-06-12 11:03:12.1,2109.0,4.4544,1.4825,-0.0020,-0.0020
1,2023-06-12 11:03:12.15,2159.0,5.6771,1.7956,-0.0020,-0.0020
1,2023-06-12 11:03:12.2,2209.0,6.3146,1.9429,-0.0020,-0.0020
1,2023-06-12 11:03:12.25,2259.0,7.6287,2.2687,-0.0098,0.0373
1,2023-06-12 11:03:12.3,2309.0,8.2908,2.5675,-0.0156,0.1079
1,2023-06-12 11:03:12.35,2359.0,9.6245,3.9459,-0.0254,0.3137
1,2023-06-12 11:03:12.4,2409.0,10.2558,5.0961,-0.0528,0.3824
1,2023-06-12 11:03:12.45,2459.0,11.3551,8.1255,-0.0977,0.3804
1,2023-06-12 11:03:12.5,2509.0,11.8110,9.8232,-0.1074,0.3118
1,2023-06-12 11:03:12.55,2559.0,12.5586,12.9971,-0.1231,0.0980
1,2023-06-12 11:03:12.6,2609.0,12.8982,14.2386,-0.0918,-0.0020
1,2023-06-12 11:03:12.65,2659.0,13.7120,15.4473,-0.0567,-0.2871
1,2023-06-12 11:03:12.7,2709.0,14.0916,15.4221,-0.0996,-0.3262
1,2023-06-12 11:03:12.75,2759.0,14.6541,14.3177,-0.1309,-0.3965
1,2023-06-12 11:03:12.8,2809.0,14.8430,13.3168,-0.1309,-0.4297
1,2023-06-12 11:03:12.85,2859.0,15.0643,10.6183,-0.1231,-0.4610
1,2023-06-12 11:03:12.9,2909.0,15.0683,7.1155,-0.1367,-0.5234
