Trial Number,Time Stamp,Relative Start Time,Switched To Tracker
1,2023-06-12 10:47:01.677,1274.0,false
1,2023-06-12 10:47:05.274,4871.0,true
1,2023-06-12 10:47:05.901,5498.0,false
1,2023-06-12 10:47:06.825,6422.0,true
2,2023-06-12 10:47:30.057,1682.0,false
2,2023-06-12 10:47:31.476,3101.0,true
3,2023-06-12 10:47:50.913,973.0,false
3,2023-06-12 10:47:53.058,3118.0,true
4,2023-06-12 10:48:10.383,1306.0,false
4,2023-06-12 10:48:13.023,3946.0,true
5,2023-06-12 10:48:30.612,1584.0,false
5,2023-06-12 10:48:34.077,5049.0,true
6,2023-06-12 10:48:45.924,1217.0,false
6,2023-06-12 10:48:48.96,4253.0,true
7,2023-06-12 10:49:03.216,1234.0,false
7,2023-06-12 10:49:04.998,3016.0,true
8,2023-06-12 10:49:21.861,1268.0,false
8,2023-06-12 10:49:24.237,3644.0,true
9,2023-06-12 10:49:36.909,1012.0,false
9,2023-06-12 10:49:39.384,3487.0,true
10,2023-06-12 10:49:51.99,816.0,false
10,2023-06-12 10:49:54.003,2829.0,true
11,2023-06-12 10:50:10.932,1416.0,false
11,2023-06-12 10:50:12.153,2637.0,true
12,2023-06-12 10:50:25.782,903.0,false
12,2023-06-12 10:50:26.904,2025.0,true
13,2023-06-12 10:50:46.869,4794.0,false
13,2023-06-12 10:50:47.826,5751.0,true
14,2023-06-12 10:50:57.693,918.0,false
14,2023-06-12 10:50:58.551,1776.0,true
15,2023-06-12 10:51:19.473,1159.0,false
15,2023-06-12 10:51:20.76,2446.0,true
16,2023-06-12 10:51:34.191,549.0,false
16,2023-06-12 10:51:35.643,2001.0,true
17,2023-06-12 10:51:50.559,1061.0,false
17,2023-06-12 10:51:51.186,1688.0,true
18,2023-06-12 10:52:05.607,971.0,false
18,2023-06-12 10:52:06.234,1598.0,true
19,2023-06-12 10:52:21.249,1089.0,false
19,2023-06-12 10:52:22.206,2046.0,true
19,2023-06-12 10:52:23.13,2970.0,false
19,2023-06-12 10:52:23.757,3597.0,true
20,2023-06-12 10:52:40.356,4935.0,false
20,2023-06-12 10:52:40.983,5562.0,true
21,2023-06-12 10:52:52.071,762.0,false
21,2023-06-12 10:52:53.985,2676.0,true
22,2023-06-12 10:53:09.297,941.0,false
22,2023-06-12 10:53:10.551,2195.0,true
23,2023-06-12 10:53:29.196,523.0,false
23,2023-06-12 10:53:30.912,2239.0,true
24,2023-06-12 10:53:50.745,1168.0,false
24,2023-06-12 10:53:53.154,3577.0,true
25,2023-06-12 10:54:05.76,841.0,false
25,2023-06-12 10:54:08.103,3184.0,true
26,2023-06-12 10:54:21.831,1131.0,false
26,2023-06-12 10:54:23.25,2550.0,true
26,2023-06-12 10:54:23.943,3243.0,false
26,2023-06-12 10:54:24.702,4002.0,true
27,2023-06-12 10:54:41.334,848.0,false
27,2023-06-12 10:54:43.149,2663.0,true
27,2023-06-12 10:54:45.954,5468.0,false
27,2023-06-12 10:54:46.746,6260.0,true
28,2023-06-12 10:55:01.926,857.0,false
28,2023-06-12 10:55:03.873,2804.0,true
29,2023-06-12 10:55:17.733,652.0,false
29,2023-06-12 10:55:19.152,2071.0,true
30,2023-06-12 10:55:35.619,814.0,false
30,2023-06-12 10:55:39.183,4378.0,true
31,2023-06-12 10:55:51.393,1063.0,false
31,2023-06-12 10:55:53.769,3439.0,true
32,2023-06-12 10:56:07.464,1790.0,false
32,2023-06-12 10:56:09.84,4166.0,true
33,2023-06-12 10:56:22.314,858.0,false
33,2023-06-12 10:56:23.799,2343.0,true
34,2023-06-12 10:56:42.345,1725.0,false
34,2023-06-12 10:56:43.962,3342.0,true
34,2023-06-12 10:56:50.034,9414.0,false
35,2023-06-12 10:56:58.614,910.0,false
35,2023-06-12 10:57:00.132,2428.0,true
36,2023-06-12 10:57:14.256,1545.0,false
36,2023-06-12 10:57:16.137,3426.0,true
37,2023-06-12 10:57:28.842,1292.0,false
37,2023-06-12 10:57:31.647,4097.0,true
38,2023-06-12 10:57:48.246,1154.0,false
38,2023-06-12 10:57:50.952,3860.0,true
38,2023-06-12 10:57:54.714,7622.0,false
38,2023-06-12 10:57:56.463,9371.0,true
39,2023-06-12 10:58:03.294,974.0,false
39,2023-06-12 10:58:04.944,2624.0,true
40,2023-06-12 10:58:22.83,1084.0,false
40,2023-06-12 10:58:26.196,4450.0,true
