2023-06-12 10:46:58.752
Trial Number,Time Stamp,Relative Start Time,Cursor X (Relative to Origin),Cursor Y(Relative to Origin),Joystick X,Joystick Y
1,2023-06-12 10:47:00.45,1699.0,0.0501,-0.1192,-0.0274,0.0157
1,2023-06-12 10:47:00.5,1749.0,0.2979,-0.6381,-0.0274,0.0157
1,2023-06-12 10:47:00.55,1799.0,0.5053,-1.0084,-0.0195,0.0157
1,2023-06-12 10:47:00.6,1849.0,1.0951,-1.9107,-0.0195,0.0177
1,2023-06-12 10:47:00.65,1899.0,1.4832,-2.4277,-0.0156,0.0177
1,2023-06-12 10:47:00.7,1949.0,2.4549,-3.5731,-0.0156,0.0098
1,2023-06-12 10:47:00.75,1999.0,3.0418,-4.2111,-0.0156,-0.0000
1,2023-06-12 10:47:00.8,2049.0,4.4495,-5.6484,-0.0098,-0.0449
1,2023-06-12 10:47:00.85,2099.0,5.2732,-6.4996,-0.0098,-0.0664
1,2023-06-12 10:47:00.9,2149.0,7.1578,-8.5901,-0.0195,-0.1953
1,2023-06-12 10:47:00.95,2199.0,8.1850,-9.9831,-0.0430,-0.2676
1,2023-06-12 10:47:01.0,2249.0,10.4164,-13.3596,-0.0449,-0.2949
1,2023-06-12 10:47:01.05,2299.0,12.9329,-17.3443,-0.0430,-0.3164
1,2023-06-12 10:47:01.1,2349.0,14.3073,-19.4772,-0.0391,-0.3164
1,2023-06-12 10:47:01.15,2399.0,17.3145,-23.3567,-0.0215,-0.0723
1,2023-06-12 10:47:01.2,2449.0,18.9742,-24.8853,-0.0098,-0.0020
1,2023-06-12 10:47:01.25,2499.0,22.5713,-27.1967,-0.0156,0.0157
1,2023-06-12 10:47:01.3,2549.0,24.4809,-28.0062,-0.0156,0.0275
1,2023-06-12 10:47:01.35,2599.0,28.4796,-29.0335,-0.0156,0.0294
1,2023-06-12 10:47:01.4,2649.0,30.5316,-29.2734,-0.0313,0.0353
1,2023-06-12 10:47:01.45,2699.0,34.6445,-29.2135,-0.0567,0.0530
1,2023-06-12 10:47:01.5,2749.0,36.6722,-28.8948,-0.0586,0.0784
1,2023-06-12 10:47:01.55,2799.0,40.6468,-27.6869,-0.0528,0.1000
1,2023-06-12 10:47:01.6,2849.0,42.5789,-26.7875,-0.0684,0.1079
1,2023-06-12 10:47:01.65,2899.0,46.1779,-24.4201,-0.1074,0.1294
1,2023-06-12 10:47:01.7,2949.0,47.8210,-22.9484,-0.1250,0.1373
1,2023-06-12 10:47:01.75,2999.0,50.7282,-19.3972,-0.1621,0.1902
1,2023-06-12 10:47:01.8,3049.0,51.9656,-17.3144,-0.1738,0.1863
1,2023-06-12 10:47:01.85,3099.0,54.0148,-12.6322,-0.1836,0.1824
1,2023-06-12 10:47:01.9,3149.0,54.8214,-10.0732,-0.2051,0.1824
1,2023-06-12 10:47:01.95,3199.0,56.0255,-4.5181,-0.2031,0.2039
1,2023-06-12 10:47:02.0,3249.0,56.4552,-1.5482,-0.1992,0.2039
1,2023-06-12 10:47:02.05,3299.0,56.9522,4.6830,-0.2266,0.1843
1,2023-06-12 10:47:02.1,3349.0,57.0339,7.8706,-0.2168,0.1588
1,2023-06-12 10:47:02.15,3399.0,56.9099,14.3288,-0.2149,0.1510
1,2023-06-12 10:47:02.2,3449.0,56.7291,17.5966,-0.2149,0.1549
1,2023-06-12 10:47:02.25,3499.0,56.1609,24.1932,-0.2149,0.1471
1,2023-06-12 10:47:02.3,3549.0,55.7845,27.4946,-0.2149,0.1392
1,2023-06-12 10:47:02.35,3599.0,54.9364,34.0821,-0.1895,0.1373
1,2023-06-12 10:47:02.4,3649.0,54.4805,37.3664,-0.1856,0.1373
1,2023-06-12 10:47:02.45,3699.0,53.5084,43.8996,-0.1836,0.1392
1,2023-06-12 10:47:02.5,3749.0,52.9936,47.1397,-0.1797,0.1255
1,2023-06-12 10:47:02.55,3799.0,51.9006,53.5541,-0.1797,0.1314
1,2023-06-12 10:47:02.6,3849.0,51.3204,56.7450,-0.1778,0.1333
1,2023-06-12 10:47:02.65,3899.0,50.0694,63.0590,-0.1738,0.1196
1,2023-06-12 10:47:02.7,3949.0,48.7737,69.2840,-0.1504,0.1137
1,2023-06-12 10:47:02.75,3999.0,48.1214,72.3532,-0.1406,0.1039
1,2023-06-12 10:47:02.8,4049.0,46.8099,78.3852,-0.1192,0.0784
1,2023-06-12 10:47:02.85,4099.0,46.1681,81.3423,-0.1016,0.0804
1,2023-06-12 10:47:02.9,4149.0,44.8971,87.1633,-0.0820,0.0784
1,2023-06-12 10:47:02.95,4199.0,44.2406,90.0435,-0.0977,0.0706
1,2023-06-12 10:47:03.0,4249.0,42.8251,95.7617,-0.0918,0.0687
1,2023-06-12 10:47:03.05,4299.0,42.0563,98.6114,-0.0977,0.0687
1,2023-06-12 10:47:03.1,4349.0,40.4030,104.3420,-0.0879,0.0784
1,2023-06-12 10:47:03.15,4399.0,39.5127,107.2270,-0.0860,0.0784
1,2023-06-12 10:47:03.2,4449.0,37.5728,113.0102,-0.0938,0.0706
1,2023-06-12 10:47:03.25,4499.0,36.5289,115.9106,-0.0879,0.0706
1,2023-06-12 10:47:03.3,4549.0,34.3185,121.7293,-0.0860,0.0706
1,2023-06-12 10:47:03.35,4599.0,33.1411,124.6458,-0.0918,0.0706
1,2023-06-12 10:47:03.4,4649.0,30.6419,130.4846,-0.0977,0.0706
1,2023-06-12 10:47:03.45,4699.0,29.3256,133.4002,-0.0938,0.0687
1,2023-06-12 10:47:03.5,4749.0,26.5818,139.2096,-0.0938,0.0687
1,2023-06-12 10:47:03.55,4799.0,25.1694,142.0935,-0.0860,0.0647
1,2023-06-12 10:47:03.6,4849.0,22.2761,147.8355,-0.0977,0.0765
1,2023-06-12 10:47:03.65,4899.0,20.7905,150.6732,-0.0860,0.0628
1,2023-06-12 10:47:03.7,4949.0,17.7485,156.2564,-0.0938,0.0588
1,2023-06-12 10:47:03.75,4999.0,16.1832,159.0049,-0.0938,0.0687
1,2023-06-12 10:47:03.8,5049.0,12.9656,164.4103,-0.0938,0.0628
1,2023-06-12 10:47:03.85,5099.0,11.3123,167.0576,-0.0938,0.0628
1,2023-06-12 10:47:03.9,5149.0,7.9102,172.2430,-0.0938,0.0687
1,2023-06-12 10:47:03.95,5199.0,6.1579,174.7803,-0.0938,0.0608
1,2023-06-12 10:47:04.0,5249.0,2.5714,179.7716,-0.0820,0.0706
1,2023-06-12 10:47:04.05,5299.0,0.7193,182.2240,-0.0938,0.0706
1,2023-06-12 10:47:04.1,5349.0,-3.1257,187.0262,-0.0938,0.0706
1,2023-06-12 10:47:04.15,5399.0,-5.1202,189.3766,-0.0938,0.0608
1,2023-06-12 10:47:04.2,5449.0,-9.2556,194.0064,-0.0938,0.0706
1,2023-06-12 10:47:04.25,5499.0,-11.3961,196.2808,-0.0938,0.0628
1,2023-06-12 10:47:04.3,5549.0,-15.8170,200.7685,-0.0938,0.0628
1,2023-06-12 10:47:04.35,5599.0,-20.4107,205.1596,-0.0938,0.0608
1,2023-06-12 10:47:04.4,5649.0,-22.7646,207.3317,-0.0938,0.0687
1,2023-06-12 10:47:04.45,5699.0,-27.5663,211.6122,-0.0938,0.0588
1,2023-06-12 10:47:04.5,5749.0,-30.0045,213.7215,-0.0938,0.0588
1,2023-06-12 10:47:04.55,5799.0,-34.9288,217.8563,-0.0938,0.0431
1,2023-06-12 10:47:04.6,5849.0,-37.3872,219.8606,-0.0801,0.0333
1,2023-06-12 10:47:04.65,5899.0,-42.2344,223.7320,-0.0762,0.0275
1,2023-06-12 10:47:04.7,5949.0,-44.6060,225.5923,-0.0567,0.0157
1,2023-06-12 10:47:04.75,5999.0,-49.1908,229.1077,-0.0528,-0.0020
1,2023-06-12 10:47:04.8,6049.0,-51.4604,230.7750,-0.0860,-0.0020
1,2023-06-12 10:47:04.85,6099.0,-56.5130,233.9454,-0.3731,-0.0020
1,2023-06-12 10:47:04.9,6149.0,-59.6092,235.4514,-0.5215,-0.0020
1,2023-06-12 10:47:04.95,6199.0,-66.9615,238.3065,-0.5898,-0.0020
1,2023-06-12 10:47:05.0,6249.0,-70.9942,239.6430,-0.5449,-0.0117
1,2023-06-12 10:47:05.05,6299.0,-79.3300,242.0845,-0.4844,-0.0332
1,2023-06-12 10:47:05.1,6349.0,-83.5398,243.1982,-0.4551,-0.0195
1,2023-06-12 10:47:05.15,6399.0,-91.9295,245.2218,-0.4043,-0.0195
1,2023-06-12 10:47:05.2,6449.0,-96.0103,246.1405,-0.3574,-0.0235
1,2023-06-12 10:47:05.25,6499.0,-103.5737,247.8270,-0.1738,-0.0195
1,2023-06-12 10:47:05.3,6549.0,-106.9985,248.5827,-0.1309,-0.0235
1,2023-06-12 10:47:05.35,6599.0,-113.1494,249.9403,-0.0449,-0.0156
1,2023-06-12 10:47:05.4,6649.0,-115.9551,250.5577,-0.0488,-0.0156
1,2023-06-12 10:47:05.45,6699.0,-121.2968,251.6996,-0.0625,-0.0098
1,2023-06-12 10:47:05.5,6749.0,-123.9027,252.2410,-0.0625,-0.0020
1,2023-06-12 10:47:05.55,6799.0,-129.0970,253.2905,-0.0625,-0.0000
1,2023-06-12 10:47:05.6,6849.0,-131.7174,253.8033,-0.0625,-0.0000
1,2023-06-12 10:47:05.65,6899.0,-137.0609,254.8212,-0.0625,-0.0000
1,2023-06-12 10:47:05.7,6949.0,-139.7984,255.3339,-0.0625,-0.0000
1,2023-06-12 10:47:05.75,6999.0,-145.4249,256.3867,-0.0625,-0.0000
1,2023-06-12 10:47:05.8,7049.0,-148.2747,256.9344,-0.0274,-0.0000
1,2023-06-12 10:47:05.85,7099.0,-153.7817,258.0660,0.1059,-0.0195
