SUMMARY
Trial Number,Time Stamp,Relative Start Time,RMS
1,2023-10-18 10:31:01.526,1759.0,97.98357106180798
2,2023-10-18 10:31:16.071,16304.0,47.366496970881144
DETAIL
Trial Number,Time Stamp,Relative Start Time,Cursor X (Relative to Origin),Cursor Y(Relative to Origin),Joystick X,Joystick Y
1,2023-10-18 10:31:01.554,1787.0,0.0000,0.0000,0.0000,0.0000
1,2023-10-18 10:31:01.6,1833.0,-0.5769,-0.5727,-0.0020,-0.0000
1,2023-10-18 10:31:01.65,1883.0,-2.9582,-3.0846,-0.0020,-0.0000
1,2023-10-18 10:31:01.7,1933.0,-4.5681,-4.8889,-0.0020,-0.0000
1,2023-10-18 10:31:01.75,1983.0,-8.2664,-9.3449,-0.0020,-0.0000
1,2023-10-18 10:31:01.8,2033.0,-10.2485,-11.9220,-0.0020,-0.0000
1,2023-10-18 10:31:01.85,2083.0,-14.2813,-17.6301,-0.0020,-0.0000
1,2023-10-18 10:31:01.9,2133.0,-16.2735,-20.7154,-0.0020,-0.0000
1,2023-10-18 10:31:01.95,2183.0,-20.1025,-27.2541,-0.0020,-0.0000
1,2023-10-18 10:31:02.0,2233.0,-21.9087,-30.6754,-0.0020,-0.0000
1,2023-10-18 10:31:02.05,2283.0,-25.2523,-37.7520,-0.0020,-0.0000
1,2023-10-18 10:31:02.1,2333.0,-26.7765,-41.3822,-0.0020,-0.0000
1,2023-10-18 10:31:02.15,2383.0,-29.5128,-48.7700,-0.0020,-0.0000
1,2023-10-18 10:31:02.2,2433.0,-30.7231,-52.5070,-0.0020,-0.0000
1,2023-10-18 10:31:02.25,2483.0,-32.8338,-60.0212,-0.0020,-0.0000
1,2023-10-18 10:31:02.3,2533.0,-33.7396,-63.7818,-0.0020,-0.0000
1,2023-10-18 10:31:02.35,2583.0,-35.2710,-71.2739,-0.0020,-0.0000
1,2023-10-18 10:31:02.4,2633.0,-35.9057,-74.9930,-0.0020,-0.0000
1,2023-10-18 10:31:02.45,2683.0,-36.9374,-82.3517,-0.0020,-0.0000
1,2023-10-18 10:31:02.5,2733.0,-37.3442,-85.9833,-0.0020,-0.0000
1,2023-10-18 10:31:02.55,2783.0,-37.9630,-93.1357,-0.0020,-0.0000
1,2023-10-18 10:31:02.6,2833.0,-38.1834,-96.6525,-0.0020,-0.0000
1,2023-10-18 10:31:02.65,2883.0,-38.4641,-103.5623,-0.0020,-0.0000
1,2023-10-18 10:31:02.7,2933.0,-38.5300,-106.9547,-0.0020,-0.0000
1,2023-10-18 10:31:02.75,2983.0,-38.5235,-113.6167,-0.0020,-0.0000
1,2023-10-18 10:31:02.8,3033.0,-38.4538,-116.8882,-0.0020,-0.0000
1,2023-10-18 10:31:02.85,3083.0,-38.1849,-123.3193,-0.0020,-0.0000
1,2023-10-18 10:31:02.9,3133.0,-37.9860,-126.4821,-0.0020,-0.0000
1,2023-10-18 10:31:02.95,3183.0,-37.4585,-132.7106,-0.0020,-0.0000
1,2023-10-18 10:31:03.0,3233.0,-37.1291,-135.7795,-0.0020,-0.0000
1,2023-10-18 10:31:03.05,3283.0,-36.3372,-141.8340,-0.0020,-0.0000
1,2023-10-18 10:31:03.1,3333.0,-35.8744,-144.8217,-0.0020,-0.0000
1,2023-10-18 10:31:03.15,3383.0,-34.8157,-150.7221,-0.0020,-0.0000
1,2023-10-18 10:31:03.2,3433.0,-34.2212,-153.6354,-0.0020,-0.0000
1,2023-10-18 10:31:03.25,3483.0,-32.9080,-159.3874,-0.0020,-0.0000
1,2023-10-18 10:31:03.3,3533.0,-31.4421,-165.0358,-0.0020,-0.0000
