2023-10-18 10:32:57.531
Trial Number,Time Stamp,Relative Start Time,Cursor X (Relative to Origin),Cursor Y(Relative to Origin),Joystick X,Joystick Y
1,2023-10-18 10:32:59.15,1623.0,0.0000,0.0000,0.0000,0.0000
1,2023-10-18 10:32:59.2,1673.0,-1.2544,1.5525,-0.0352,-0.1016
1,2023-10-18 10:32:59.25,1723.0,-2.3898,2.8165,-0.0391,-0.1211
1,2023-10-18 10:32:59.3,1773.0,-5.4456,5.9214,-0.0469,-0.1211
1,2023-10-18 10:32:59.35,1823.0,-7.2964,7.6758,-0.0547,-0.1211
1,2023-10-18 10:32:59.4,1873.0,-11.4584,11.4209,-0.0391,-0.1074
1,2023-10-18 10:32:59.45,1923.0,-13.7258,13.4556,-0.0391,-0.0371
1,2023-10-18 10:32:59.5,1973.0,-18.5706,17.8778,-0.0469,-0.0000
1,2023-10-18 10:32:59.55,2023.0,-21.1325,20.1948,-0.0469,-0.0000
1,2023-10-18 10:32:59.6,2073.0,-26.4379,24.9073,-0.0254,-0.0000
1,2023-10-18 10:32:59.65,2123.0,-29.1250,27.1305,-0.0020,-0.1113
1,2023-10-18 10:32:59.7,2173.0,-34.5544,30.6993,-0.0137,-0.3360
1,2023-10-18 10:32:59.75,2223.0,-37.3117,31.8576,-0.0176,-0.4571
1,2023-10-18 10:32:59.8,2273.0,-42.8406,32.9438,-0.0020,-0.5312
1,2023-10-18 10:32:59.85,2323.0,-45.6098,32.9513,-0.0020,-0.5410
1,2023-10-18 10:32:59.9,2373.0,-51.1088,31.9419,0.0275,-0.6016
1,2023-10-18 10:32:59.95,2423.0,-53.7011,31.0008,0.1177,-0.6309
1,2023-10-18 10:33:00.0,2473.0,-58.4713,28.3952,0.1431,-0.6504
1,2023-10-18 10:33:00.05,2523.0,-60.6980,26.7994,0.1471,-0.6406
1,2023-10-18 10:33:00.1,2573.0,-64.7009,23.1702,0.2569,-0.6406
1,2023-10-18 10:33:00.15,2623.0,-66.4007,21.1824,0.3039,-0.6367
1,2023-10-18 10:33:00.2,2673.0,-68.8945,16.9908,0.4588,-0.5957
1,2023-10-18 10:33:00.25,2723.0,-69.7227,14.9630,0.4980,-0.5019
1,2023-10-18 10:33:00.3,2773.0,-70.4122,11.2728,0.6490,-0.3867
1,2023-10-18 10:33:00.35,2823.0,-70.2474,9.7193,0.7235,-0.3360
1,2023-10-18 10:33:00.4,2873.0,-69.3905,7.0582,0.6137,-0.3360
1,2023-10-18 10:33:00.45,2923.0,-68.0692,4.8658,0.7333,-0.2910
