SUMMARY
Trial Number,Time Stamp,Relative Start Time,RMS
1,2023-10-11 17:10:37.026,1687.0,73.00452775753254
2,2023-10-11 17:10:55.202,19863.0,39.89146461467504
DETAIL
Trial Number,Time Stamp,Relative Start Time,Cursor X (Relative to Origin),Cursor Y(Relative to Origin),Joystick X,Joystick Y
1,2023-10-11 17:10:37.05,1711.0,0.4563,0.3321,-0.0020,-0.0000
1,2023-10-11 17:10:37.1,1761.0,2.3694,1.7688,-0.0020,-0.0000
1,2023-10-11 17:10:37.15,1811.0,3.6862,2.7890,-0.0020,-0.0000
1,2023-10-11 17:10:37.2,1861.0,6.7865,5.2833,-0.0020,-0.0000
1,2023-10-11 17:10:37.25,1911.0,8.4963,6.7149,-0.0020,-0.0000
1,2023-10-11 17:10:37.3,1961.0,12.0996,9.8701,-0.0020,-0.0000
1,2023-10-11 17:10:37.35,2011.0,13.9530,11.5713,-0.0020,-0.0000
1,2023-10-11 17:10:37.4,2061.0,17.6878,15.1786,-0.0020,-0.0000
1,2023-10-11 17:10:37.45,2111.0,19.5469,17.0714,-0.0020,-0.0000
1,2023-10-11 17:10:37.5,2161.0,23.2065,21.0077,-0.0020,-0.0000
1,2023-10-11 17:10:37.55,2211.0,24.9950,23.0415,-0.0020,-0.0000
1,2023-10-11 17:10:37.6,2261.0,28.4688,27.2187,-0.0020,-0.0000
1,2023-10-11 17:10:37.65,2311.0,30.1493,29.3536,-0.0020,-0.0000
1,2023-10-11 17:10:37.7,2361.0,33.3924,33.6966,-0.0020,-0.0000
1,2023-10-11 17:10:37.75,2411.0,34.9555,35.8970,-0.0020,-0.0000
1,2023-10-11 17:10:37.8,2461.0,37.9716,40.3377,-0.0020,-0.0000
1,2023-10-11 17:10:37.9,2561.0,42.2575,47.0517,-0.0020,-0.0000
1,2023-10-11 17:10:37.95,2611.0,43.6352,49.2931,-0.0020,-0.0000
1,2023-10-11 17:10:38.0,2661.0,46.3355,53.7697,-0.0020,-0.0000
1,2023-10-11 17:10:38.05,2711.0,47.6652,56.0024,-0.0020,-0.0000
1,2023-10-11 17:10:38.1,2761.0,50.2996,60.4543,-0.0020,-0.0000
1,2023-10-11 17:10:38.15,2811.0,51.6098,62.6740,-0.0020,-0.0000
1,2023-10-11 17:10:38.2,2861.0,54.2259,67.1057,-0.0020,-0.0000
1,2023-10-11 17:10:38.25,2911.0,55.5340,69.3211,-0.0020,-0.0000
1,2023-10-11 17:10:38.3,2961.0,58.1503,73.7626,-0.0020,-0.0000
1,2023-10-11 17:10:38.35,3011.0,59.4565,75.9944,-0.0020,-0.0000
1,2023-10-11 17:10:38.4,3061.0,62.0548,80.4966,-0.0020,-0.0000
