Trial Number,Time Stamp,Relative Start Time,Switched To Tracker
1,2023-10-11 17:12:22.401,1180.0,false
1,2023-10-11 17:12:23.259,2038.0,true
1,2023-10-11 17:12:24.249,3028.0,false
1,2023-10-11 17:12:24.975,3754.0,true
2,2023-10-11 17:12:42.333,704.0,false
2,2023-10-11 17:12:42.861,1232.0,true
2,2023-10-11 17:12:45.336,3707.0,false
2,2023-10-11 17:12:45.864,4235.0,true
2,2023-10-11 17:12:49.857,8228.0,false
2,2023-10-11 17:12:50.517,8888.0,true
3,2023-10-11 17:13:02.265,1567.0,false
3,2023-10-11 17:13:03.123,2425.0,true
3,2023-10-11 17:13:05.796,5098.0,false
3,2023-10-11 17:13:06.423,5725.0,true
3,2023-10-11 17:13:07.578,6880.0,false
3,2023-10-11 17:13:08.106,7408.0,true
4,2023-10-11 17:13:20.745,783.0,false
4,2023-10-11 17:13:21.372,1410.0,true
5,2023-10-11 17:13:37.245,82.0,false
5,2023-10-11 17:13:38.136,973.0,true
5,2023-10-11 17:13:39.291,2128.0,false
5,2023-10-11 17:13:40.809,3646.0,true
