2023-10-11 17:12:19.596
Trial Number,Time Stamp,Relative Start Time,Cursor X (Relative to Origin),Cursor Y(Relative to Origin),Joystick X,Joystick Y
1,2023-10-11 17:12:21.25,1655.0,0.2184,-0.2712,-0.0020,-0.2168
1,2023-10-11 17:12:21.3,1705.0,0.6099,-0.8748,-0.0020,-0.3125
1,2023-10-11 17:12:21.35,1755.0,1.7595,-3.0288,-0.0176,-0.3965
1,2023-10-11 17:12:21.4,1805.0,2.4489,-4.5104,-0.0215,-0.4024
1,2023-10-11 17:12:21.45,1855.0,3.9357,-8.0607,-0.0371,-0.4160
1,2023-10-11 17:12:21.5,1905.0,4.7308,-10.0903,-0.0313,-0.4317
1,2023-10-11 17:12:21.55,1955.0,6.3639,-14.4752,-0.0625,-0.4219
1,2023-10-11 17:12:21.6,2005.0,7.1640,-16.7957,-0.0723,-0.4219
1,2023-10-11 17:12:21.65,2055.0,8.6294,-21.1401,-0.1113,-0.1914
1,2023-10-11 17:12:21.7,2105.0,9.3281,-22.8761,-0.1016,-0.0528
1,2023-10-11 17:12:21.75,2155.0,10.8187,-25.3803,-0.0625,0.0275
1,2023-10-11 17:12:21.8,2205.0,11.5932,-26.1873,-0.0820,0.0667
1,2023-10-11 17:12:21.85,2255.0,12.9214,-27.0190,-0.2227,0.1275
1,2023-10-11 17:12:21.9,2305.0,13.3698,-27.0246,-0.2422,0.1726
1,2023-10-11 17:12:21.95,2355.0,13.8637,-26.1741,-0.2774,0.2647
1,2023-10-11 17:12:22.0,2405.0,13.9233,-25.3095,-0.2910,0.3079
1,2023-10-11 17:12:22.05,2455.0,13.7402,-22.7846,-0.3008,0.3451
1,2023-10-11 17:12:22.1,2505.0,13.5187,-21.1512,-0.2969,0.3804
1,2023-10-11 17:12:22.15,2555.0,12.8388,-17.1874,-0.3008,0.4177
1,2023-10-11 17:12:22.2,2605.0,12.3923,-14.9085,-0.3067,0.4216
1,2023-10-11 17:12:22.25,2655.0,11.2643,-9.8768,-0.3223,0.4255
1,2023-10-11 17:12:22.3,2705.0,10.5794,-7.1762,-0.3223,0.4177
1,2023-10-11 17:12:22.35,2755.0,8.8673,-1.7328,-0.3672,0.2961
1,2023-10-11 17:12:22.4,2805.0,7.8141,0.8036,-0.3906,0.1883
1,2023-10-11 17:12:22.45,2855.0,5.3074,5.0463,-0.3906,-0.0000
1,2023-10-11 17:12:22.5,2905.0,2.7331,8.3528,-0.2520,-0.0020
1,2023-10-11 17:12:22.55,2955.0,1.5910,9.7660,-0.1914,-0.0020
1,2023-10-11 17:12:22.6,3005.0,-0.1057,12.2566,-0.0567,-0.0020
1,2023-10-11 17:12:22.65,3055.0,-0.6910,13.3713,-0.0469,-0.0020
1,2023-10-11 17:12:22.7,3105.0,-1.5086,15.3986,-0.0469,-0.0020
1,2023-10-11 17:12:22.75,3155.0,-1.7904,16.3251,-0.0469,-0.0020
1,2023-10-11 17:12:22.8,3205.0,-2.1715,18.0225,-0.0410,-0.0020
1,2023-10-11 17:12:22.85,3255.0,-2.2676,18.7969,-0.0274,-0.0020
1,2023-10-11 17:12:22.9,3305.0,-2.2863,20.2002,-0.0176,-0.0020
1,2023-10-11 17:12:22.95,3355.0,-2.2154,20.8293,-0.0215,-0.0020
1,2023-10-11 17:12:23.0,3405.0,-1.8739,21.9434,-0.0020,-0.0020
1,2023-10-11 17:12:23.05,3455.0,-1.6166,22.4293,-0.0020,-0.0020
1,2023-10-11 17:12:23.1,3505.0,-0.9528,23.2639,-0.0020,-0.0020
1,2023-10-11 17:12:23.15,3555.0,-0.5541,23.6160,-0.0020,-0.0020
1,2023-10-11 17:12:23.2,3605.0,0.3384,24.2018,-0.0020,-0.0020
1,2023-10-11 17:12:23.25,3655.0,0.8382,24.4417,-0.0020,-0.0020
1,2023-10-11 17:12:23.3,3705.0,1.9227,24.8344,-0.0020,-0.0020
1,2023-10-11 17:12:23.35,3755.0,2.4978,24.9955,-0.0020,-0.0020
1,2023-10-11 17:12:23.4,3805.0,3.6878,25.2705,-0.0020,-0.0020
1,2023-10-11 17:12:23.45,3855.0,4.2920,25.3939,-0.0020,-0.0020
1,2023-10-11 17:12:23.5,3905.0,5.4916,25.6363,-0.0020,-0.0020
1,2023-10-11 17:12:23.55,3955.0,6.0764,25.7644,-0.0020,-0.0020
1,2023-10-11 17:12:23.6,4005.0,7.1914,26.0554,-0.0020,-0.0020
1,2023-10-11 17:12:23.65,4055.0,7.6824,26.2467,-0.0274,0.0157
1,2023-10-11 17:12:23.7,4105.0,8.4553,27.0269,-0.0528,0.1236
1,2023-10-11 17:12:23.75,4155.0,8.7438,27.6494,-0.0410,0.1510
1,2023-10-11 17:12:23.8,4205.0,9.1808,29.1875,-0.0020,0.0628
1,2023-10-11 17:12:23.85,4255.0,9.3938,29.8918,0.0020,-0.0000
1,2023-10-11 17:12:23.9,4305.0,9.7854,31.0867,0.0020,-0.0469
1,2023-10-11 17:12:23.95,4355.0,9.8924,31.4834,-0.0528,-0.1211
1,2023-10-11 17:12:24.0,4405.0,9.8242,31.4095,-0.0820,-0.3672
1,2023-10-11 17:12:24.05,4455.0,9.6931,30.7820,-0.0664,-0.4610
1,2023-10-11 17:12:24.1,4505.0,9.3236,28.5896,-0.0625,-0.4668
1,2023-10-11 17:12:24.15,4555.0,8.8735,25.5068,-0.0528,-0.4668
1,2023-10-11 17:12:24.2,4605.0,8.6531,23.7240,-0.0469,-0.4668
1,2023-10-11 17:12:24.25,4655.0,8.1985,19.7867,-0.0567,-0.4707
1,2023-10-11 17:12:24.3,4705.0,7.9822,17.6590,-0.0567,-0.4707
1,2023-10-11 17:12:24.35,4755.0,7.5965,13.1383,-0.0528,-0.4707
1,2023-10-11 17:12:24.4,4805.0,7.4331,10.7634,-0.0567,-0.4668
1,2023-10-11 17:12:24.45,4855.0,7.2190,5.8422,-0.0469,-0.4375
1,2023-10-11 17:12:24.5,4905.0,7.1536,3.3469,-0.0528,-0.4219
1,2023-10-11 17:12:24.55,4955.0,7.1570,-1.7102,-0.0313,-0.4160
1,2023-10-11 17:12:24.6,5005.0,7.2328,-4.2737,-0.0313,-0.4063
1,2023-10-11 17:12:24.65,5055.0,7.4603,-9.4357,-0.0410,-0.3965
1,2023-10-11 17:12:24.7,5105.0,7.6335,-12.0484,-0.0371,-0.3867
1,2023-10-11 17:12:24.75,5155.0,8.0594,-17.3507,-0.0528,-0.3867
1,2023-10-11 17:12:24.8,5205.0,8.3100,-20.0394,-0.0528,-0.3809
1,2023-10-11 17:12:24.85,5255.0,9.0508,-25.4276,-0.0020,-0.3418
1,2023-10-11 17:12:24.9,5305.0,9.5150,-28.1048,-0.0215,-0.3418
1,2023-10-11 17:12:24.95,5355.0,10.5881,-33.3758,-0.0313,-0.3008
1,2023-10-11 17:12:25.0,5405.0,11.1894,-35.9125,-0.0313,-0.2617
1,2023-10-11 17:12:25.05,5455.0,12.5224,-40.5684,-0.0469,-0.1660
1,2023-10-11 17:12:25.1,5505.0,13.2779,-42.5789,-0.0215,-0.0567
1,2023-10-11 17:12:25.15,5555.0,14.9674,-45.8636,-0.0410,-0.0000
1,2023-10-11 17:12:25.2,5605.0,15.8937,-47.1813,-0.0469,0.0431
1,2023-10-11 17:12:25.25,5655.0,17.9068,-49.0232,-0.0567,0.1765
1,2023-10-11 17:12:25.3,5705.0,18.9871,-49.4560,-0.0762,0.2726
1,2023-10-11 17:12:25.35,5755.0,21.2747,-49.3081,-0.1172,0.3804
1,2023-10-11 17:12:25.4,5805.0,22.4477,-48.7017,-0.1270,0.4530
1,2023-10-11 17:12:25.45,5855.0,24.8833,-46.4244,-0.1563,0.5412
1,2023-10-11 17:12:25.5,5905.0,26.0971,-44.8286,-0.1914,0.5667
1,2023-10-11 17:12:25.55,5955.0,28.5037,-40.9481,-0.2168,0.5745
1,2023-10-11 17:12:25.6,6005.0,29.6848,-38.7453,-0.2461,0.5706
1,2023-10-11 17:12:25.65,6055.0,31.9693,-33.9590,-0.2871,0.5588
1,2023-10-11 17:12:25.7,6105.0,33.0530,-31.4811,-0.3067,0.5216
1,2023-10-11 17:12:25.75,6155.0,34.8790,-26.5688,-0.4414,0.4530
1,2023-10-11 17:12:25.8,6205.0,35.8788,-21.9049,-0.5605,0.3843
1,2023-10-11 17:12:25.85,6255.0,35.9745,-19.7570,-0.6562,0.3157
1,2023-10-11 17:12:25.9,6305.0,35.0030,-15.9210,-0.8320,0.2118
1,2023-10-11 17:12:25.95,6355.0,33.9833,-14.3037,-0.8652,0.1549
1,2023-10-11 17:12:26.0,6405.0,31.0260,-11.6426,-0.9062,0.0804
1,2023-10-11 17:12:26.05,6455.0,29.1539,-10.5547,-0.9160,0.0667
1,2023-10-11 17:12:26.1,6505.0,24.7962,-8.6449,-0.9219,0.0667
1,2023-10-11 17:12:26.15,6555.0,22.3827,-7.7555,-0.8906,0.0628
1,2023-10-11 17:12:26.2,6605.0,17.3458,-5.9801,-0.8262,0.0549
1,2023-10-11 17:12:26.25,6655.0,14.7429,-5.1046,-0.8262,0.0157
1,2023-10-11 17:12:26.3,6705.0,9.4560,-3.3481,-0.7617,-0.0000
1,2023-10-11 17:12:26.35,6755.0,6.8520,-2.4200,-0.7168,-0.0020
1,2023-10-11 17:12:26.4,6805.0,2.0937,-0.8475,-0.5215,-0.1914
1,2023-10-11 17:12:26.45,6855.0,0.1534,-0.2995,-0.3672,-0.2774
1,2023-10-11 17:12:26.5,6905.0,-2.6852,-0.0106,-0.2227,-0.4668
1,2023-10-11 17:12:26.55,6955.0,-3.6032,-0.1674,-0.1660,-0.4610
1,2023-10-11 17:12:26.6,7005.0,-4.7866,-0.7794,-0.2012,-0.4707
1,2023-10-11 17:12:26.65,7055.0,-5.2140,-1.1001,-0.2168,-0.4219
1,2023-10-11 17:12:26.7,7105.0,-5.7708,-0.9196,-0.1074,-0.1524
1,2023-10-11 17:12:26.75,7155.0,-5.7418,-0.2825,-0.0313,-0.0820
1,2023-10-11 17:12:26.8,7205.0,-5.1143,2.1815,-0.0000,-0.0000
1,2023-10-11 17:12:26.85,7255.0,-4.6371,3.8915,-0.0274,-0.0000
1,2023-10-11 17:12:26.9,7305.0,-3.5491,8.0409,-0.0313,-0.0000
1,2023-10-11 17:12:26.95,7355.0,-2.9538,10.4111,-0.0215,-0.0000
1,2023-10-11 17:12:27.0,7405.0,-1.6605,15.6055,-0.0020,-0.0000
1,2023-10-11 17:12:27.05,7455.0,-0.9934,18.3650,-0.0000,-0.0176
1,2023-10-11 17:12:27.1,7505.0,0.3172,23.9365,-0.0000,-0.0664
1,2023-10-11 17:12:27.15,7555.0,0.9391,26.7421,-0.0000,-0.0762
1,2023-10-11 17:12:27.2,7605.0,2.0717,32.5079,-0.0000,-0.0000
1,2023-10-11 17:12:27.25,7655.0,2.5677,35.5095,-0.0000,-0.0000
1,2023-10-11 17:12:27.3,7705.0,3.3881,41.6654,-0.0000,-0.0000
1,2023-10-11 17:12:27.35,7755.0,3.7024,44.7935,-0.0000,-0.0000
1,2023-10-11 17:12:27.4,7805.0,4.1189,50.5852,-0.0000,-0.2110
1,2023-10-11 17:12:27.45,7855.0,4.2336,55.0335,-0.0000,-0.4707
1,2023-10-11 17:12:27.5,7905.0,4.1732,56.6811,-0.0000,-0.4922
1,2023-10-11 17:12:27.55,7955.0,3.8201,58.9437,0.0020,-0.6016
1,2023-10-11 17:12:27.6,8005.0,3.5269,59.5754,0.0020,-0.6172
1,2023-10-11 17:12:27.65,8055.0,2.7113,59.9319,0.0020,-0.7012
1,2023-10-11 17:12:27.7,8105.0,2.1919,59.7056,0.0020,-0.7109
1,2023-10-11 17:12:27.75,8155.0,0.9405,58.6745,0.0020,-0.7109
1,2023-10-11 17:12:27.8,8205.0,0.2135,57.9339,0.0020,-0.7168
1,2023-10-11 17:12:27.85,8255.0,-1.4295,56.1307,0.0020,-0.7109
1,2023-10-11 17:12:27.9,8305.0,-2.3402,55.1126,0.0020,-0.7168
1,2023-10-11 17:12:27.95,8355.0,-4.3282,52.9050,0.0020,-0.7207
1,2023-10-11 17:12:28.0,8405.0,-5.4037,51.7453,-0.0000,-0.7109
1,2023-10-11 17:12:28.05,8455.0,-7.6270,49.3599,0.0314,-0.7109
1,2023-10-11 17:12:28.1,8505.0,-8.7770,48.1424,0.0275,-0.7109
1,2023-10-11 17:12:28.15,8555.0,-11.1531,45.6704,0.0314,-0.7109
1,2023-10-11 17:12:28.2,8605.0,-12.3347,44.4181,0.0824,-0.7109
1,2023-10-11 17:12:28.25,8655.0,-14.4176,41.8930,0.1980,-0.7070
1,2023-10-11 17:12:28.3,8705.0,-15.2695,40.6163,0.2373,-0.7070
1,2023-10-11 17:12:28.35,8755.0,-16.6511,38.0209,0.2569,-0.7070
1,2023-10-11 17:12:28.4,8805.0,-17.2468,36.6843,0.2627,-0.7168
1,2023-10-11 17:12:28.45,8855.0,-18.2153,33.9121,0.3686,-0.7168
1,2023-10-11 17:12:28.5,8905.0,-18.4159,32.4721,0.4687,-0.7168
1,2023-10-11 17:12:28.55,8955.0,-18.1333,29.8295,0.5686,-0.5723
1,2023-10-11 17:12:28.6,9005.0,-17.6883,28.6584,0.5941,-0.5566
1,2023-10-11 17:12:28.65,9055.0,-16.4305,26.5685,0.5745,-0.5371
1,2023-10-11 17:12:28.7,9105.0,-15.7491,25.5882,0.5392,-0.5312
1,2023-10-11 17:12:28.75,9155.0,-14.4732,23.6729,0.4980,-0.5371
1,2023-10-11 17:12:28.8,9205.0,-13.9322,22.6759,0.4784,-0.5469
1,2023-10-11 17:12:28.85,9255.0,-13.0181,20.5395,0.4843,-0.5566
1,2023-10-11 17:12:28.9,9305.0,-12.6048,19.3803,0.4980,-0.5566
1,2023-10-11 17:12:28.95,9355.0,-11.8958,16.9204,0.4628,-0.5156
1,2023-10-11 17:12:29.0,9405.0,-11.5977,15.6926,0.4687,-0.4864
1,2023-10-11 17:12:29.05,9455.0,-11.3258,13.8466,0.3333,-0.1524
1,2023-10-11 17:12:29.1,9505.0,-12.3947,13.7505,-0.0000,0.1039
1,2023-10-11 17:12:29.15,9555.0,-13.5040,14.4102,-0.0078,0.1843
1,2023-10-11 17:12:29.2,9605.0,-16.4209,16.6534,0.0314,0.1118
1,2023-10-11 17:12:29.25,9655.0,-18.0383,18.0144,0.0726,0.1079
1,2023-10-11 17:12:29.3,9705.0,-21.4370,21.0346,0.0628,0.1118
1,2023-10-11 17:12:29.35,9755.0,-23.1406,22.5897,0.1020,0.0706
1,2023-10-11 17:12:29.45,9855.0,-27.2512,26.7585,0.3235,-0.0020
1,2023-10-11 17:12:29.5,9905.0,-28.8497,28.6509,0.4079,-0.2363
1,2023-10-11 17:12:29.55,9955.0,-29.2243,28.9978,0.4980,-0.3867
1,2023-10-11 17:12:29.6,10005.0,-28.9701,28.3271,0.6588,-0.4961
1,2023-10-11 17:12:29.65,10055.0,-28.2862,27.4004,0.7294,-0.5371
1,2023-10-11 17:12:29.7,10105.0,-26.0318,24.6998,0.7451,-0.5117
1,2023-10-11 17:12:29.75,10155.0,-24.6013,23.0216,0.7451,-0.5117
1,2023-10-11 17:12:29.8,10205.0,-21.3733,19.1387,0.7392,-0.5215
1,2023-10-11 17:12:29.85,10255.0,-19.7044,16.9631,0.6941,-0.5215
